Frame no.	Bubble_1	Bubble_2	Bubble_3	Bubble_4	Bubble_5	Bubble_6	Bubble_7	Bubble_8	Bubble_9	Bubble_10
Frame 0	(181, 132)	(253, 574)	(335, 578)	(439, 294)	(592, 90)	(618, 355)	(666, 288)	(694, 493)	(844, 297)	(1035, 646)
Frame 1	(181, 132)	(253, 574)	(335, 578)	(439, 294)	(593, 90)	(618, 355)	(666, 288)	(694, 493)	(844, 297)	(1035, 646)
Frame 2	(181, 132)	(253, 574)	(335, 578)	(439, 294)	(593, 90)	(618, 355)	(666, 288)	(694, 493)	(844, 297)	(1035, 646)
Frame 3	(182, 132)	(253, 574)	(334, 577)	(439, 294)	(593, 90)	(618, 355)	(666, 288)	(694, 493)	(845, 297)	(1035, 646)
Frame 4	(182, 132)	(254, 574)	(335, 577)	(439, 294)	(593, 90)	(618, 355)	(667, 288)	(694, 493)	(845, 297)	(1035, 646)
Frame 5	(182, 132)	(254, 574)	(336, 577)	(440, 293)	(592, 90)	(667, 288)	(694, 494)	(845, 297)	(1035, 645)	(1097, 135)
Frame 6	(183, 131)	(285, 578)	(442, 293)	(591, 90)	(667, 286)	(695, 495)	(847, 298)	(1035, 643)	(1097, 135)	(1108, 446)
Frame 7	(185, 131)	(288, 579)	(443, 292)	(590, 89)	(668, 287)	(696, 497)	(847, 301)	(1034, 642)	(1097, 136)	(1107, 447)
Frame 8	(187, 130)	(296, 580)	(446, 292)	(587, 89)	(671, 287)	(697, 499)	(850, 304)	(1034, 640)	(1098, 137)	(1106, 448)
Frame 9	(189, 130)	(305, 580)	(448, 291)	(584, 89)	(672, 285)	(698, 502)	(852, 304)	(1034, 637)	(1098, 139)	(1102, 450)
Frame 10	(191, 130)	(317, 581)	(451, 289)	(575, 89)	(675, 283)	(698, 505)	(858, 309)	(1033, 633)	(1098, 453)	(1099, 142)
Frame 11	(194, 130)	(324, 580)	(455, 289)	(571, 89)	(681, 281)	(701, 509)	(860, 313)	(1031, 628)	(1094, 457)	(1100, 145)
Frame 12	(199, 130)	(279, 584)	(343, 583)	(460, 288)	(565, 89)	(685, 278)	(706, 514)	(865, 319)	(1030, 623)	(1088, 461)
Frame 13	(205, 129)	(288, 588)	(362, 583)	(466, 279)	(562, 88)	(691, 269)	(712, 518)	(874, 322)	(1029, 616)	(1084, 467)
