               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.9062,              3.4762,              1.8485,                   1,            0.082067,             0.34861,              0.2624,              1.0192,              2.8551,              1.4881,              0.0928,              0.0008,              0.0008
                   1,              1.7852,              2.6212,              1.8254,             0.87657,             0.59189,              0.7153,             0.53001,              0.9728,              1.4484,              1.3814,            0.084666,           0.0016663,           0.0016663
                   2,              1.5602,               1.637,              1.6659,             0.92223,                0.65,             0.76142,             0.54025,              1.0567,               1.193,              1.4596,            0.076497,            0.002497,            0.002497
                   3,              1.5511,              1.4456,              1.5846,             0.94438,             0.84899,             0.90028,             0.67981,             0.94814,             0.77494,              1.2219,            0.068292,           0.0032921,           0.0032921
                   4,              1.4408,              1.3075,              1.5795,              0.9783,             0.75125,             0.91649,             0.72365,             0.81065,             0.69765,              1.1512,            0.060052,           0.0040515,           0.0040515
                   5,              1.3649,              1.3762,               1.404,             0.93957,             0.86667,             0.93727,             0.66686,              1.0657,             0.87007,              1.2011,            0.051775,           0.0047753,           0.0047753
                   6,              1.3635,              1.1839,              1.3848,             0.95566,             0.91667,              0.9737,             0.70667,             0.96338,             0.84597,              1.1494,            0.043463,           0.0054634,           0.0054634
                   7,              1.2863,              1.1181,              1.3656,              0.9444,             0.86667,             0.94106,             0.71279,             0.85682,              1.0202,              1.1209,            0.035116,           0.0061159,           0.0061159
                   8,              1.3643,               1.197,              1.4171,             0.91933,             0.94974,             0.96896,             0.67966,             0.96819,             0.82704,              1.1236,            0.026733,           0.0067328,           0.0067328
                   9,              1.3053,              1.0702,              1.3463,              0.9758,             0.88333,             0.95425,             0.72267,             0.90729,             0.60696,              1.1208,            0.018314,            0.007314,            0.007314
